,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
0,TC190001,Alex,0024,A,2,1900-08-31 12:00:00,998.93,-42.4,41.54,1900-08-27 06:00:00,1900-08-25 00:00:00,999.11,-68.55,31.19,1900-08-25 00:00:00,1010.17,-74.91,22.04,1900-09-02 06:00:00,1010.34,-25.5,46.0,1010.17,-74.91,22.04,1900-08-28 00:00:00,1001.52,-65.34,32.7,1900-09-01 00:00:00,1006.23,-37.0,42.75
1,TC190002,Beatrice,0026,A,2,1900-09-03 06:00:00,933.33,-53.61,30.15,1900-09-03 06:00:00,1900-08-29 06:00:00,933.33,-53.61,30.15,1900-08-26 12:00:00,1003.52,-7.32,15.81,1900-09-10 06:00:00,978.17,-16.15,55.43,1003.29,-27.73,17.28,1900-09-04 06:00:00,943.55,-50.41,35.84,1900-09-10 06:00:00,978.17,-16.15,55.43
2,TC190006,Ernest,0038,A,2,1900-11-22 18:00:00,991.58,-36.06,34.02,1900-11-22 18:00:00,1900-11-21 12:00:00,991.58,-36.06,34.02,1900-11-21 12:00:00,1006.64,-35.72,24.28,1900-11-25 12:00:00,998.31,-47.52,55.48,1006.64,-35.72,24.28,1900-11-24 18:00:00,998.89,-42.28,44.18,1900-11-25 00:00:00,998.75,-42.63,48.24
3,TC190103,Kinen,0079,A,2,1901-10-13 18:00:00,974.73,-35.58,40.53,1901-10-13 18:00:00,1901-10-10 06:00:00,974.73,-35.58,40.53,1901-10-09 00:00:00,1010.36,-42.7,28.55,1901-10-16 18:00:00,1009.48,-9.5,44.25,1000.39,-39.96,26.88,1901-10-15 06:00:00,984.17,-21.7,47.01,1901-10-16 00:00:00,999.49,-13.75,44.5
4,TC190202,Mario,0100,A,2,1902-02-03 18:00:00,973.36,-28.79,33.46,1902-02-03 18:00:00,1902-01-30 06:00:00,973.36,-28.79,33.46,1902-01-30 06:00:00,999.74,-63.74,21.55,1902-02-07 06:00:00,997.91,-17.5,54.25,999.74,-63.74,21.55,1902-02-06 12:00:00,991.99,-22.84,47.13,1902-02-07 00:00:00,998.08,-21.25,51.41
5,TC190205,Nicole,0120,A,2,1902-08-17 06:00:00,903.29,-66.04,28.17,1902-08-17 06:00:00,1902-08-12 06:00:00,903.29,-66.04,28.17,1902-08-12 06:00:00,1008.83,-48.02,18.24,1902-08-22 18:00:00,974.72,-20.06,59.97,1008.83,-48.02,18.24,1902-08-20 00:00:00,952.77,-62.46,38.07,1902-08-21 06:00:00,968.29,-49.44,50.48
6,TC190206,Quinn,0124,A,2,1902-09-05 00:00:00,951.82,-53.32,42.13,1902-09-03 18:00:00,1902-08-25 06:00:00,957.33,-65.07,34.07,1902-08-23 18:00:00,1009.22,-28.68,10.98,1902-09-06 18:00:00,977.02,-19.23,58.42,1010.25,-36.41,13.2,1902-09-04 12:00:00,971.3,-59.24,38.07,1902-09-05 18:00:00,972.26,-39.48,53.67
7,TC190305,Christine,0168,A,2,1903-07-15 06:00:00,931.32,-85.46,27.45,1903-07-15 06:00:00,1903-07-10 06:00:00,931.32,-85.46,27.45,1903-07-10 06:00:00,1011.27,-66.5,21.44,1903-07-20 06:00:00,999.48,-57.0,51.5,1011.27,-66.5,21.44,1903-07-19 12:00:00,1002.83,-68.32,42.57,1903-07-19 18:00:00,1002.24,-65.41,44.01
8,TC190307,Elyse,0171,A,2,1903-08-13 12:00:00,990.45,-53.0,44.0,1903-08-12 12:00:00,1903-08-07 00:00:00,991.47,-67.76,39.2,1903-08-07 00:00:00,1011.2,-80.63,30.48,1903-08-13 12:00:00,990.45,-53.0,44.0,1011.2,-80.63,30.48,1903-08-12 18:00:00,993.38,-64.75,39.75,1903-08-13 06:00:00,991.7,-56.25,42.5
9,TC190309,Hope,0175,A,2,1903-09-08 00:00:00,929.66,-77.98,30.55,1903-09-08 00:00:00,1903-09-01 12:00:00,929.66,-77.98,30.55,1903-09-01 12:00:00,1009.29,-58.77,21.05,1903-09-15 18:00:00,979.91,-58.77,57.7,1009.29,-58.77,21.05,1903-09-10 00:00:00,946.7,-77.42,33.15,1903-09-13 18:00:00,973.9,-59.62,48.55
