,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
14,TC211305,Noelle,0727,A,2,2113-06-18 00:00:00,959.56,-71.9,33.49,2113-06-18 00:00:00,2113-06-10 12:00:00,959.56,-71.9,33.49,2113-06-10 12:00:00,1003.72,-78.75,13.35,2113-06-21 00:00:00,986.28,-39.64,59.98,1003.72,-78.75,13.35,2113-06-19 00:00:00,968.89,-67.21,38.58,2113-06-19 18:00:00,980.91,-60.91,44.87
15,TC211308,Shannon,0736,A,2,2113-09-18 00:00:00,911.77,-43.93,21.91,2113-09-18 00:00:00,2113-09-14 00:00:00,911.77,-43.93,21.91,2113-09-14 00:00:00,1004.4,-34.93,14.41,2113-09-26 18:00:00,995.67,-39.25,55.0,1004.4,-34.93,14.41,2113-09-21 00:00:00,956.55,-44.48,31.57,2113-09-25 06:00:00,977.74,-48.83,53.69
16,TC211405,Bryan,0771,A,2,2114-08-25 00:00:00,915.17,-63.64,32.17,2114-08-25 00:00:00,2114-08-13 18:00:00,915.17,-63.64,32.17,2114-08-13 12:00:00,1005.95,-20.82,14.53,2114-08-29 18:00:00,988.63,-24.75,54.25,1003.87,-22.26,15.1,2114-08-26 00:00:00,928.16,-60.6,37.45,2114-08-28 00:00:00,973.34,-46.87,49.91
17,TC211407,Dominic,0773,A,2,2114-09-08 00:00:00,906.75,-63.69,23.32,2114-09-08 00:00:00,2114-09-03 00:00:00,906.75,-63.69,23.32,2114-09-02 06:00:00,1006.93,-29.24,9.73,2114-09-11 12:00:00,965.21,-51.97,59.26,1004.48,-36.07,12.32,2114-09-09 18:00:00,956.56,-65.8,33.67,2114-09-11 00:00:00,970.43,-56.68,50.61
18,TC211503,Kannas,0837,A,2,2115-12-08 06:00:00,962.97,-56.8,35.5,2115-12-08 06:00:00,2115-12-03 06:00:00,962.97,-56.8,35.5,2115-12-03 06:00:00,1002.28,-58.25,25.62,2115-12-13 00:00:00,994.57,-29.25,48.0,1002.28,-58.25,25.62,2115-12-12 06:00:00,990.05,-46.73,44.22,2115-12-12 12:00:00,990.27,-41.24,46.11
19,TC211605,Nathan,0888,A,2,2116-11-25 06:00:00,978.89,-59.9,37.53,2116-11-25 06:00:00,2116-11-23 00:00:00,978.89,-59.9,37.53,2116-11-21 18:00:00,992.69,-61.82,38.62,2116-11-29 06:00:00,998.36,-43.71,30.04,993.23,-58.81,38.36,2116-11-27 06:00:00,990.06,-59.01,32.97,2116-11-28 00:00:00,994.9,-53.74,31.62
20,TC211802,Bella,0959,A,2,2118-05-18 18:00:00,967.3,-69.07,38.89,2118-05-18 00:00:00,2118-05-13 00:00:00,991.42,-80.53,34.25,2118-05-13 00:00:00,1012.86,-89.06,28.39,2118-05-20 00:00:00,980.8,-53.14,56.94,1012.86,-89.06,28.39,2118-05-18 06:00:00,985.92,-77.02,35.38,2118-05-19 06:00:00,978.78,-60.84,46.62
21,TC212207,Alissa,1179,A,2,2122-09-21 06:00:00,947.43,-52.12,40.47,2122-09-18 18:00:00,2122-09-15 18:00:00,982.65,-72.43,30.35,2122-09-15 18:00:00,1000.27,-67.39,24.93,2122-09-22 12:00:00,996.84,-37.88,53.17,1000.27,-67.39,24.93,2122-09-19 06:00:00,987.46,-70.58,31.53,2122-09-22 06:00:00,991.09,-41.63,50.24
22,TC212306,Geoffrey,1233,A,2,2123-09-20 18:00:00,945.58,-55.27,40.35,2123-09-19 18:00:00,2123-09-15 18:00:00,945.64,-59.64,36.55,2123-09-15 18:00:00,1009.95,-53.61,30.15,2123-09-24 06:00:00,990.73,-22.02,50.32,1009.95,-53.61,30.15,2123-09-20 18:00:00,945.58,-55.27,40.35,2123-09-24 00:00:00,990.11,-25.67,48.72
23,TC212307,Hazel,1234,A,2,2123-10-03 18:00:00,945.6,-55.76,39.55,2123-10-03 18:00:00,2123-09-19 18:00:00,945.6,-55.76,39.55,2123-09-18 18:00:00,1012.2,-24.76,7.5,2123-10-07 12:00:00,967.68,-23.5,56.25,1006.7,-29.23,12.08,2123-10-06 00:00:00,1002.7,-44.3,42.14,2123-10-06 06:00:00,1002.04,-41.99,43.7
