,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Trop Begin Time,Final Time,Final SLP,Final Lon,Final Lat
16,TC201305,Bella,A,2,2013-08-29 06:00:00,959.79,-63.59,34.86,2013-08-29 06:00:00,959.79,-63.59,34.86,2013-08-31 12:00:00,1001.65,-55.68,48.25,2013-08-31 18:00:00,1001.43,-51.43,50.32,2013-08-19 18:00:00,1007.27,-16.52,12.63,2013-08-20 18:00:00,2013-09-02 12:00:00,989.89,-7.25,54.5
17,TC201307,Dorcas,A,2,2013-10-08 00:00:00,966.02,-63.06,39.55,2013-10-08 00:00:00,966.02,-63.06,39.55,2013-10-08 06:00:00,966.43,-60.61,41.54,2013-10-09 06:00:00,999.22,-50.09,52.64,2013-10-04 12:00:00,1006.17,-69.35,31.62,2013-10-04 12:00:00,2013-10-09 12:00:00,1001.43,-49.89,54.21
18,TC201308,Erling,A,2,2013-10-10 12:00:00,963.94,-58.85,27.67,2013-10-10 12:00:00,963.94,-58.85,27.67,2013-10-13 18:00:00,997.88,-53.55,32.09,2013-10-18 00:00:00,990.17,-15.63,37.21,2013-10-07 18:00:00,1008.33,-56.34,28.28,2013-10-07 18:00:00,2013-10-20 06:00:00,1004.97,2.57,39.0
19,TC201404,Hendrik,A,2,2014-09-07 18:00:00,946.7,-47.28,39.13,2014-09-07 18:00:00,946.7,-47.28,39.13,2014-09-09 06:00:00,960.91,-35.49,45.24,2014-09-10 06:00:00,983.3,-23.24,50.47,2014-08-28 06:00:00,1005.14,-24.56,10.77,2014-08-28 06:00:00,2014-09-10 06:00:00,983.3,-23.24,50.47
20,TC201406,Jana,A,2,2014-11-01 00:00:00,943.49,-57.57,40.5,2014-11-01 00:00:00,943.49,-57.57,40.5,2014-11-02 00:00:00,960.51,-44.02,50.93,2014-11-02 00:00:00,960.51,-44.02,50.93,2014-10-28 18:00:00,998.23,-74.27,33.15,2014-10-28 18:00:00,2014-11-02 06:00:00,963.06,-41.29,54.83
21,TC201506,Rayan,A,2,2015-07-19 18:00:00,987.83,-62.18,41.71,2015-07-19 12:00:00,988.15,-64.94,39.76,2015-07-19 18:00:00,987.83,-62.18,41.71,2015-07-21 00:00:00,1000.1,-44.75,47.02,2015-07-15 18:00:00,1018.93,-80.75,31.37,2015-07-15 18:00:00,2015-07-23 18:00:00,1011.93,1.75,54.0
22,TC201702,Geoffrey,A,2,2017-09-17 18:00:00,917.74,-54.48,29.99,2017-09-17 18:00:00,917.74,-54.48,29.99,2017-09-18 12:00:00,930.43,-50.78,31.96,2017-09-23 18:00:00,970.07,-15.37,54.18,2017-09-12 00:00:00,1007.94,-30.72,16.68,2017-09-12 00:00:00,2017-09-24 00:00:00,975.01,-15.57,56.09
23,TC201802,Luca,A,2,2018-06-23 06:00:00,990.73,-82.27,27.22,2018-06-23 06:00:00,990.73,-82.27,27.22,2018-06-25 06:00:00,1000.98,-69.08,33.87,2018-06-27 18:00:00,1006.76,-46.73,44.22,2018-06-19 18:00:00,1012.02,-81.02,30.18,2018-06-21 18:00:00,2018-06-30 18:00:00,1001.22,-9.5,55.75
24,TC201803,Mary,A,2,2018-11-16 18:00:00,978.25,-50.26,45.55,2018-11-16 00:00:00,985.15,-54.1,39.14,2018-11-16 06:00:00,982.86,-52.82,41.04,2018-11-17 06:00:00,979.76,-44.78,49.61,2018-11-13 06:00:00,997.81,-56.84,29.51,2018-11-13 06:00:00,2018-11-18 06:00:00,985.07,-21.5,54.25
25,TC202006,Blaise,A,2,2020-08-18 18:00:00,947.9,-75.55,36.12,2020-08-18 18:00:00,947.9,-75.55,36.12,2020-08-19 18:00:00,988.26,-72.59,43.04,2020-08-20 06:00:00,998.72,-67.32,47.37,2020-08-10 18:00:00,1007.71,-33.72,16.7,2020-08-12 00:00:00,2020-08-23 00:00:00,1007.08,-15.25,54.25
