,Code,Name,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
14,TC210806,Queenie,A,2,2108-11-10 18:00:00,957.55,-34.21,38.14,2108-11-10 18:00:00,2108-11-05 00:00:00,957.55,-34.21,38.14,2108-11-02 18:00:00,1007.77,-49.67,30.88,2108-11-13 00:00:00,998.03,1.75,47.25,1001.41,-38.37,26.44,2108-11-11 06:00:00,966.57,-31.84,44.42,2108-11-12 00:00:00,978.85,-22.88,49.5
15,TC210905,William,A,2,2109-10-02 12:00:00,913.84,-65.84,28.28,2109-10-02 12:00:00,2109-09-25 06:00:00,913.84,-65.84,28.28,2109-09-25 06:00:00,1007.13,-29.45,12.77,2109-10-06 18:00:00,981.92,-44.07,54.6,1007.13,-29.45,12.77,2109-10-03 12:00:00,925.56,-61.0,34.16,2109-10-06 06:00:00,966.15,-46.58,50.39
16,TC210908,Andy,A,2,2109-11-13 12:00:00,983.91,-15.5,41.75,2109-11-08 06:00:00,2109-11-08 00:00:00,990.32,-26.46,40.73,2109-11-06 12:00:00,1004.59,-22.32,39.52,2109-11-13 12:00:00,983.91,-15.5,41.75,990.84,-26.96,40.85,2109-11-11 12:00:00,991.73,-33.07,37.15,2109-11-13 00:00:00,987.3,-21.71,40.19
17,TC211001,Bonnie,A,2,2110-08-27 00:00:00,920.65,-67.41,30.05,2110-08-27 00:00:00,2110-08-18 06:00:00,920.65,-67.41,30.05,2110-08-18 06:00:00,1007.4,-31.22,15.15,2110-09-02 00:00:00,995.8,-7.25,54.0,1007.4,-31.22,15.15,2110-08-30 12:00:00,938.26,-56.41,43.25,2110-08-31 12:00:00,977.4,-38.13,47.96
18,TC211004,Demi,A,2,2110-11-10 00:00:00,988.23,-75.13,33.26,2110-11-10 00:00:00,2110-11-07 18:00:00,988.23,-75.13,33.26,2110-11-07 18:00:00,1005.34,-78.07,29.78,2110-11-14 12:00:00,1011.48,-55.5,33.75,1005.34,-78.07,29.78,2110-11-13 18:00:00,1008.17,-59.5,35.0,2110-11-14 12:00:00,1011.48,-55.5,33.75
19,TC211205,Hubert,A,2,2112-09-05 00:00:00,916.5,-61.04,32.4,2112-09-05 00:00:00,2112-08-29 18:00:00,916.5,-61.04,32.4,2112-08-28 18:00:00,1009.5,-28.42,13.97,2112-09-10 06:00:00,962.18,-27.72,59.71,1007.31,-34.17,14.51,2112-09-06 00:00:00,942.37,-56.1,36.65,2112-09-09 12:00:00,943.61,-33.98,56.32
20,TC211207,Keith,A,2,2112-11-03 18:00:00,947.91,-38.89,41.46,2112-11-03 18:00:00,2112-10-30 12:00:00,947.91,-38.89,41.46,2112-10-30 12:00:00,1008.96,-48.58,30.53,2112-11-09 00:00:00,1012.65,-27.0,38.25,1008.96,-48.58,30.53,2112-11-06 12:00:00,987.15,-24.87,48.77,2112-11-06 12:00:00,987.15,-24.87,48.77
21,TC211208,Lily,A,2,2112-11-07 00:00:00,953.16,-58.56,43.49,2112-11-06 00:00:00,2112-11-01 06:00:00,964.92,-66.11,38.91,2112-11-01 06:00:00,1010.88,-78.24,27.63,2112-11-07 18:00:00,968.78,-63.71,47.43,1010.88,-78.24,27.63,2112-11-06 06:00:00,961.12,-64.05,39.06,2112-11-07 12:00:00,962.48,-61.3,46.97
22,TC211301,Marc,A,2,2113-01-14 12:00:00,937.29,-42.81,41.44,2113-01-14 12:00:00,2113-01-12 00:00:00,937.29,-42.81,41.44,2113-01-11 06:00:00,964.69,-71.7,35.74,2113-01-18 06:00:00,951.17,-31.72,60.0,958.92,-64.65,38.12,2113-01-15 06:00:00,940.9,-36.61,39.57,2113-01-18 00:00:00,951.48,-32.18,57.61
23,TC211305,Noelle,A,2,2113-06-18 00:00:00,959.56,-71.9,33.49,2113-06-18 00:00:00,2113-06-10 12:00:00,959.56,-71.9,33.49,2113-06-10 12:00:00,1003.72,-78.75,13.35,2113-06-21 00:00:00,986.28,-39.64,59.98,1003.72,-78.75,13.35,2113-06-19 00:00:00,968.89,-67.21,38.58,2113-06-19 18:00:00,980.91,-60.91,44.87
24,TC211307,Rocco,A,2,2113-09-22 12:00:00,963.15,-92.17,28.24,2113-09-22 12:00:00,2113-09-14 18:00:00,963.15,-92.17,28.24,2113-09-14 18:00:00,1010.62,-92.59,25.7,2113-09-28 18:00:00,1007.54,-53.75,44.0,1010.62,-92.59,25.7,2113-09-24 12:00:00,1002.15,-91.41,34.53,2113-09-24 12:00:00,1002.15,-91.41,34.53
25,TC211308,Shannon,A,2,2113-09-18 00:00:00,911.77,-43.93,21.91,2113-09-18 00:00:00,2113-09-14 00:00:00,911.77,-43.93,21.91,2113-09-14 00:00:00,1004.4,-34.93,14.41,2113-09-26 18:00:00,995.67,-39.25,55.0,1004.4,-34.93,14.41,2113-09-21 00:00:00,956.55,-44.48,31.57,2113-09-25 06:00:00,977.74,-48.83,53.69
26,TC211309,Thomas,A,2,2113-11-10 00:00:00,943.59,-66.64,44.07,2113-11-04 06:00:00,2113-10-31 00:00:00,951.74,-93.41,21.77,2113-10-31 00:00:00,1002.14,-89.7,26.27,2113-11-11 00:00:00,966.07,-71.38,53.74,1002.14,-89.7,26.27,2113-11-07 12:00:00,950.39,-89.47,25.49,2113-11-11 00:00:00,966.07,-71.38,53.74
27,TC211405,Bryan,A,2,2114-08-25 00:00:00,915.17,-63.64,32.17,2114-08-25 00:00:00,2114-08-13 18:00:00,915.17,-63.64,32.17,2114-08-13 12:00:00,1005.95,-20.82,14.53,2114-08-29 18:00:00,988.63,-24.75,54.25,1003.87,-22.26,15.1,2114-08-26 00:00:00,928.16,-60.6,37.45,2114-08-28 00:00:00,973.34,-46.87,49.91
28,TC211407,Dominic,A,2,2114-09-08 00:00:00,906.75,-63.69,23.32,2114-09-08 00:00:00,2114-09-03 00:00:00,906.75,-63.69,23.32,2114-09-02 06:00:00,1006.93,-29.24,9.73,2114-09-11 12:00:00,965.21,-51.97,59.26,1004.48,-36.07,12.32,2114-09-09 18:00:00,956.56,-65.8,33.67,2114-09-11 00:00:00,970.43,-56.68,50.61
29,TC211501,John,A,2,2115-10-25 18:00:00,972.5,-59.47,34.9,2115-10-25 18:00:00,2115-10-24 00:00:00,972.5,-59.47,34.9,2115-10-24 00:00:00,997.17,-61.9,29.32,2115-10-27 12:00:00,990.01,-39.17,50.14,997.17,-61.9,29.32,2115-10-27 00:00:00,988.68,-47.67,43.95,2115-10-27 06:00:00,989.62,-43.51,46.89
30,TC211503,Kannas,A,2,2115-12-08 06:00:00,962.97,-56.8,35.5,2115-12-08 06:00:00,2115-12-03 06:00:00,962.97,-56.8,35.5,2115-12-03 06:00:00,1002.28,-58.25,25.62,2115-12-13 00:00:00,994.57,-29.25,48.0,1002.28,-58.25,25.62,2115-12-12 06:00:00,990.05,-46.73,44.22,2115-12-12 12:00:00,990.27,-41.24,46.11
31,TC211604,Mandy,A,2,2116-11-18 06:00:00,944.85,-33.39,43.79,2116-11-18 06:00:00,2116-11-18 06:00:00,944.85,-33.39,43.79,2116-11-16 18:00:00,976.55,-45.38,38.16,2116-11-22 00:00:00,967.43,-20.25,54.25,944.85,-33.39,43.79,2116-11-22 00:00:00,967.43,-20.25,54.25,2116-11-22 00:00:00,967.43,-20.25,54.25
