,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
16,TC210406,Audrey,0292,A,2,2104-11-03 00:00:00,983.4,-80.23,30.79,2104-11-03 00:00:00,2104-11-01 00:00:00,983.4,-80.23,30.79,2104-11-01 00:00:00,1001.5,-64.44,31.49,2104-11-06 18:00:00,995.77,-50.5,56.75,1001.5,-64.44,31.49,2104-11-04 06:00:00,1002.87,-78.57,33.49,2104-11-04 12:00:00,1003.32,-77.3,34.64
17,TC210407,Brandon,0294,A,0,2104-11-09 06:00:00,984.97,-31.13,32.18,2104-11-09 06:00:00,2104-11-08 18:00:00,984.97,-31.13,32.18,2104-11-08 18:00:00,987.9,-31.03,30.76,2104-11-14 12:00:00,1012.67,-36.5,35.75,987.9,-31.03,30.76,,,,,,,,
18,TC210502,Christine,0311,A,2,2105-02-19 06:00:00,963.17,-42.91,37.92,2105-02-20 06:00:00,2105-02-20 06:00:00,969.12,-32.06,39.5,2105-02-18 00:00:00,987.9,-58.64,36.62,2105-02-23 06:00:00,1011.07,-11.0,40.0,969.12,-32.06,39.5,2105-02-22 12:00:00,1005.2,-15.75,37.5,2105-02-22 12:00:00,1005.2,-15.75,37.5
19,TC210503,David,0312,A,2,2105-02-27 00:00:00,956.81,-35.38,35.67,2105-02-27 00:00:00,2105-02-25 06:00:00,956.81,-35.38,35.67,2105-02-24 06:00:00,991.73,-54.62,28.62,2105-02-28 12:00:00,972.7,-27.47,51.4,962.35,-45.78,33.5,2105-02-27 18:00:00,961.68,-29.59,39.76,2105-02-28 12:00:00,972.7,-27.47,51.4
20,TC210506,Elyse,0326,A,0,2105-08-31 18:00:00,902.62,-78.25,28.44,2105-08-31 18:00:00,2105-08-27 06:00:00,902.62,-78.25,28.44,2105-08-26 00:00:00,1008.88,-34.16,12.92,2105-09-06 18:00:00,998.03,-72.25,49.25,994.43,-46.81,14.05,,,,,,,,
21,TC210507,Frederick,0328,A,2,2105-09-27 18:00:00,925.26,-48.56,34.91,2105-09-27 18:00:00,2105-09-19 12:00:00,925.26,-48.56,34.91,2105-09-19 12:00:00,1008.38,-32.11,13.79,2105-10-05 12:00:00,983.83,-25.92,51.3,1008.38,-32.11,13.79,2105-10-04 18:00:00,977.52,-38.56,44.26,2105-10-05 06:00:00,980.7,-30.64,48.3
22,TC210602,Hope,0363,A,0,2106-08-17 12:00:00,987.67,-95.01,19.07,2106-08-17 12:00:00,2106-08-15 06:00:00,987.67,-95.01,19.07,2106-08-13 18:00:00,1009.82,-69.12,18.33,2106-08-18 06:00:00,1001.68,-97.1,15.27,1008.45,-79.29,18.41,,,,,,,,
23,TC210604,Jacob,0380,A,0,2106-12-26 12:00:00,950.31,-53.03,43.64,2106-12-26 12:00:00,2106-12-26 12:00:00,950.31,-53.03,43.64,2106-12-26 00:00:00,954.46,-60.98,40.27,2106-12-29 06:00:00,973.16,-18.5,54.25,950.31,-53.03,43.64,,,,,,,,
24,TC210703,Katrina,0431,A,1,2107-10-12 06:00:00,980.51,-32.0,54.5,2107-10-10 18:00:00,2107-10-07 18:00:00,994.7,-42.91,45.19,2107-10-07 18:00:00,1010.44,-57.26,34.68,2107-10-12 06:00:00,980.51,-32.0,54.5,1010.44,-57.26,34.68,2107-10-11 06:00:00,991.48,-37.38,48.09,,,,
25,TC210802,Luke,0459,A,2,2108-04-14 06:00:00,976.7,-52.92,38.54,2108-04-11 00:00:00,2108-04-10 00:00:00,990.66,-68.83,28.3,2108-04-09 12:00:00,993.48,-72.7,25.16,2108-04-16 18:00:00,992.86,-10.91,60.43,990.8,-70.04,28.21,2108-04-12 00:00:00,994.09,-65.33,26.15,2108-04-15 06:00:00,985.21,-40.02,47.29
